Temperature,Year,Month,Country,,
27.602808,1911,7,IND,,
26.240417,1911,8,IND,,
25.744507,1911,9,IND,,
24.340418,1911,10,IND,,
19.943785,1911,11,IND,,
17.072012,1911,12,IND,,
17.025661,1912,1,IND,,
19.602406,1912,2,IND,,
22.87907,1912,3,IND,,
26.733683,1912,4,IND,,
29.510025,1912,5,IND,,
29.726141,1912,6,IND,,
26.907938,1912,7,IND,,
25.929352,1912,8,IND,,
25.57458,1912,9,IND,,
24.197754,1912,10,IND,,
19.652525,1912,11,IND,,
16.637691,1912,12,IND,,
16.569607,1913,1,IND,,
18.767681,1913,2,IND,,
21.65806,1913,3,IND,,
27.578909,1913,4,IND,,
28.508099,1913,5,IND,,
27.634161,1913,6,IND,,
26.563272,1913,7,IND,,
26.180353,1913,8,IND,,
26.095348,1913,9,IND,,
24.389256,1913,10,IND,,
19.880112,1913,11,IND,,
16.990297,1913,12,IND,,
17.374258,1914,1,IND,,
18.756855,1914,2,IND,,
22.47057,1914,3,IND,,
26.20345,1914,4,IND,,
29.185324,1914,5,IND,,
28.614756,1914,6,IND,,
26.557499,1914,7,IND,,
25.920208,1914,8,IND,,
25.877544,1914,9,IND,,
23.67931,1914,10,IND,,
20.722454,1914,11,IND,,
17.124138,1914,12,IND,,
16.840816,1915,1,IND,,
18.110584,1915,2,IND,,
22.568645,1915,3,IND,,
26.787008,1915,4,IND,,
29.892782,1915,5,IND,,
29.330072,1915,6,IND,,
27.450039,1915,7,IND,,
26.513153,1915,8,IND,,
26.352365,1915,9,IND,,
25.325823,1915,10,IND,,
21.32951,1915,11,IND,,
17.117962,1915,12,IND,,
16.95838,1916,1,IND,,
18.473616,1916,2,IND,,
24.351404,1916,3,IND,,
27.576746,1916,4,IND,,
29.48797,1916,5,IND,,
27.657578,1916,6,IND,,
26.792301,1916,7,IND,,
26.077785,1916,8,IND,,
25.818203,1916,9,IND,,
24.11604,1916,10,IND,,
19.802166,1916,11,IND,,
16.252926,1916,12,IND,,
16.605133,1917,1,IND,,
18.552446,1917,2,IND,,
22.131275,1917,3,IND,,
25.43665,1917,4,IND,,
27.803207,1917,5,IND,,
27.603048,1917,6,IND,,
26.47987,1917,7,IND,,
25.969288,1917,8,IND,,
25.193264,1917,9,IND,,
23.51267,1917,10,IND,,
19.514114,1917,11,IND,,
16.684362,1917,12,IND,,
15.704892,1918,1,IND,,
18.641539,1918,2,IND,,
22.710424,1918,3,IND,,
25.759182,1918,4,IND,,
29.127026,1918,5,IND,,
27.659424,1918,6,IND,,
27.787891,1918,7,IND,,
26.40746,1918,8,IND,,
26.118042,1918,9,IND,,
24.553808,1918,10,IND,,
20.759743,1918,11,IND,,
16.744347,1918,12,IND,,
17.14507,1919,1,IND,,
18.419327,1919,2,IND,,
23.2,1919,3,IND,,
26.516598,1919,4,IND,,
28.980433,1919,5,IND,,
28.641378,1919,6,IND,,
